Word,V.Mean.Sum,A.Mean.Sum,V.Mean.M,V.Mean.F,A.Mean.M,A.Mean.F,V.Mean.Y,V.Mean.O,A.Mean.Y,A.Mean.O
firewall,4.43,4.91,5.8,4,5.73,04.09,3.92,5.11,4.8,5.14
firewood,06.09,4.58,5.8,6.12,5,4.27,5.58,6.7,4.4,4.78
fireworks,6.8,06.05,7.67,6.65,6,06.08,7.43,6.46,5.81,6.3
firm,5.36,4.3,5.77,4.78,4.86,4,5.83,4.8,5,3.73
firmament,5.1,3.65,5,5.14,4,3.42,4.4,5.33,3.8,3.5
first,7.33,4.9,7.58,6.83,6.4,4.4,7.33,7.33,6.86,3.85
firstborn,6.65,5.65,7.25,6.5,4.25,5.95,6.25,6.92,6,5.38
fiscal,4.15,04.05,4.44,3.91,4.83,3.5,4.25,04.08,4.4,3.94
fish,6.42,3.33,6.79,6.15,3.8,03.07,6.43,6.4,04.07,2.93
fisherman,5.42,04.06,5.45,5.38,3.5,4.21,5.5,5.36,4,04.09
fishing,07.05,3.6,7.54,6,4.6,3.27,6.33,7.7,4.43,3.15
fishing boat,6.21,3.14,7.67,5.94,3.86,2.62,6.43,06.08,3.71,2.69
fishy,4.2,3.11,4.71,3.92,3.22,3,4.1,4.11,3,3.17
fissure,4.3,4.18,5.57,3.62,4,4.33,04.09,4.56,4.44,4
fist,2.95,4.85,3,2.94,5.1,4.6,2.57,3.14,4.71,4.92
fistfight,4,6.23,4.11,3.91,6.8,5.75,3.79,4.5,5.75,6.5
fistful,5.4,4.1,6,4.91,3.67,4.29,6.38,4.75,4.2,04.06
fit,6.28,4.35,5.38,7,4.29,4.38,5.55,7.43,4.44,4.27
fitness,6.45,5.32,7.38,5.93,5.3,5.33,6.55,6.36,5.89,4.92
five,5.4,3.55,5.4,5.4,4.38,3,5.44,5.36,04.08,2.57
fiver,5.24,4.87,5,5.31,5.58,04.09,4.83,5.78,5,4.57
fix,6.11,3.6,5.38,6.7,3.57,3.62,5.82,6.57,3,04.09
fixable,6.84,3.48,7.2,6.69,3.83,3.33,6.57,7,3.43,3.5
fixation,4.11,4.11,3.8,4.21,4.17,04.08,4.33,3.9,4.2,4
fixer,6.39,2.67,6.7,5.71,3.14,2.43,5.57,6.91,2.22,3
fixture,05.05,2.9,5.12,5,2.4,03.07,5.15,4.88,2.83,3
fizz,5.38,4.57,5.22,5.5,4.64,4.5,5.29,5.38,5.55,3.67
fjord,5.53,3.19,5.67,5.5,4,2.87,5.3,5.78,2.43,3.57
flabby,3.39,3.39,3.55,3.24,2.71,3.8,3.45,3.33,3.5,3.42
flaccid,3.55,3.14,3.33,3.59,2.71,3.15,4.14,3.23,3.57,2.69
flag,6.1,3.74,5.89,6.27,3.71,3.87,4.71,7,4,3.67
flagpole,5.11,3.19,4.67,5.19,3,3.27,5.2,5,3.14,3.21
flagrant,4,4.91,3.18,4.82,5.57,4.73,4.1,3.92,5.5,4.58
flagship,5.45,3.57,5.5,5.44,5.75,03.06,6,05.08,3.2,3.91
flagstaff,5.5,3.9,5.7,5.3,4.25,3.69,5.44,5.55,4.54,2.88
flair,5.89,4.32,4.83,6.38,4.67,3.9,5.8,6,5.44,3.54
flak,4.55,4.64,4.56,4.55,5.3,04.08,4.93,3.67,5,4.43
flake,4.58,3.48,4.78,4.4,3.29,3.67,4.56,4.6,3.5,3.58
flaky,3.58,3.5,4.18,2.75,4.25,3.29,3.25,3.82,3.14,3.73
flamboyant,5,5.52,5,5,4.17,6.14,5,5,5.2,5.62
flame,5.9,6.6,5.82,6,7.86,5.92,6.55,5.11,6.27,7
flamethrower,5.27,6,5.86,4.25,6.36,6.11,6.5,4.25,5.55,6.5
flaming,4.64,5.95,4.2,4.75,6,5.91,04.08,5.3,6.6,5.22
flamingo,6.74,4.59,7,6.5,3.88,5,7.14,6.5,5.1,4.17
flammable,4.25,5.95,5.33,04.06,6,6.23,4.86,3.92,6,6.23
flan,5.86,3.19,5.86,5.88,3.73,2.78,6.5,5.33,2.55,3.9
flank,4.95,3.91,5.5,4.92,4.25,3.71,4.88,5.31,3.67,04.07
flannel,5.55,2.32,5.43,5.62,2.25,2.36,5.2,5.78,2.75,2
flap,5.74,3.45,5.83,5.69,3.27,3.64,5.82,5.62,3.27,3.64
flare,5.4,4.86,5.56,5.27,5,4.81,5.29,5.67,4,6
flares,4.57,5.18,4.75,4.47,5.1,5.25,4.42,4.73,5,5.36
flash,5.53,5.38,5.78,5.3,6,5,5.33,5.7,5.62,5
flashback,5,4.71,5,5,3.89,5.2,4.44,5.45,4.83,4.58
flashlight,6,04.04,5.56,6.33,4.82,3.33,6.71,5.62,4.55,3.58
flashy,4.85,5.77,4.89,4.82,5,6,4.71,5.17,5.17,6.56
flask,5.5,4.24,5.8,5.4,5,4,5.9,5.1,5.29,3.5
flat,4.43,03.04,4.4,4.44,3.75,2.27,4,5,3.25,2.57
flatbed,4.86,3.38,5,4.75,2.83,3.21,5.11,4.67,3.4,3.38
flatfoot,4.33,3.1,5,04.08,3.55,2.56,4,4.55,2.44,3.64
flatten,5.24,3.52,5.44,05.08,3.5,3.5,5.19,5.4,3.36,3.7
flatter,6.1,4.61,7,5.8,3.83,5,6.9,5.3,4.4,4.88
flattered,6.32,5.14,6.4,6.23,4,5.6,6,6.45,4.71,5.36
flattering,7.14,4.92,7,7.23,4.85,5,7.75,6.75,5.29,4.45
flattery,5.74,5.1,6,5.69,5.5,4.83,5.67,5.8,5.44,4.82
flatulence,3.79,5.95,5,3.38,5.5,6.13,3.86,3.82,5.86,6
flaunt,4.39,4.15,4.2,4.46,3.64,4.78,5.14,3.91,4,4.27
flavor,6.45,4.41,6.33,6.55,4.91,3.91,6.14,7.17,5,4
flaw,4.1,3.84,4.11,04.09,2.83,4.11,3.81,5.25,3.71,3.9
flawed,3.74,4.18,3.67,3.79,4.2,4.17,3.83,3.64,4.56,3.92
flawless,07.05,04.05,7.33,6.8,4.12,4,6.71,7.25,5.1,3.17
flea,3,3,3.75,2.54,3.5,2.82,03.08,2.89,3.7,2.46
fleabag,3.4,4.35,3.78,03.09,2.8,5,3.57,3,4.25,4.71
flee,3.84,4.95,4.33,3.75,5.75,4.46,3.78,3.9,5.56,4.5
fleece,5.79,3.71,5.67,5.81,3.5,3.85,5.78,5.8,3.44,3.92
fleet,5.4,4.43,6.11,4.82,5.18,3.75,5.5,5.17,5,04.07
flesh,5.2,4.11,4.2,5.53,4.6,3.92,5.8,4.6,5.57,3.18
fleshy,4.89,5.3,5,4.88,6.5,4.79,4.6,5.22,4,6
flex,5.32,4.8,5.78,5,4.22,5.12,5.5,5.21,4.77,4.83
flexibility,6.9,4.5,7.25,6.69,4.62,4.36,8,6.42,5.15,3.73
flexible,6.74,4.45,5.33,7.38,5.82,03.09,6.82,6.62,5.55,3.36
flick,5.41,4.31,5.78,5.15,3.4,4.88,5.62,5.29,4,4.62
flicker,5.5,5.15,05.09,6,5.14,5.15,5.82,5.11,05.09,5.22
flier,4.19,4.43,5.4,3.81,5,3.82,3.5,5.11,4.38,4.57
flight,6.11,4.2,5.88,6.3,4.86,3.85,06.09,6.14,3.67,4.64
flighty,4.9,4.88,5.78,4.25,4.17,5.11,4.75,5.4,4.29,5.7
flimsy,4,3.77,4.27,3.7,3.7,3.83,3.5,4.45,3.6,3.92
flinch,4,5.28,2.8,4.4,4.8,5.46,4.1,3.9,5.57,05.09
fling,5.68,4.95,6,5.62,4.62,5.18,5.75,5.6,4.9,5
flip,5.6,4.62,5.5,5.67,3.44,5.33,5.78,5.45,4.75,4.5
