Word,V.Mean.Sum,A.Mean.Sum,V.Mean.M,V.Mean.F,A.Mean.M,A.Mean.F,V.Mean.Y,V.Mean.O,A.Mean.Y,A.Mean.O
aardvark,6.26,2.41,6.18,6,3,02.07,6.12,6.36,2.56,2.31
abalone,5.3,2.65,5.71,05.08,2.56,2.73,5,5.78,2.75,2.58
abandon,2.84,3.73,2.45,3.57,4.5,3.29,2.75,2.91,3.78,3.69
abandonment,2.63,4.95,2.17,2.85,4.3,5.55,3.27,1.75,4.55,5.4
abbey,5.85,2.2,4.75,6.12,4,1.75,5.88,5.83,2.44,2
abdomen,5.43,3.68,5.3,5.55,3,4,5.64,5.2,3.4,3.76
abdominal,4.48,3.5,4.36,4.58,2.6,3.88,4.8,3.88,3.75,3.33
abduct,2.42,5.9,2.38,2.5,5,6.2,3.33,1.6,6,5.85
abduction,02.05,5.33,2.67,1.77,5.25,5.38,2.5,1.56,5.78,5
abide,5.52,3.26,5,5.92,4.45,2.17,4.29,6.23,04.09,2.5
abiding,5.57,3.59,5.5,5.6,3.8,3.42,5.83,5.27,3.45,3.73
ability,7,4.85,7.2,6.93,5.62,4.33,7,7,4.78,4.91
abject,4,3.94,4.45,3.38,4.75,3.69,4.12,3.91,3.83,4
ablaze,5.15,6.75,5.12,5.17,6.8,6.73,4.92,5.5,6.58,7
able,6.64,3.38,6.67,6.53,2.71,3.71,6.29,7.14,2.78,3.83
abnormal,3.53,4.48,4.33,3.38,4.88,4.23,3.11,3.9,4.56,4.42
abnormality,03.05,5,2.55,4.14,6.5,4.14,3.5,2.73,5.44,4.69
abode,5.28,2.9,6,5.13,2.67,3,5.4,5.12,3.29,2.71
abolish,3.84,4.18,4.18,3.38,5,3.92,3.88,3.82,4.57,3.9
abominable,04.05,5.45,3.78,4.27,6,5,4.14,3.83,5,5.71
abomination,2.5,5.9,3,2.31,6.64,5,2.71,2.36,4.56,7
abort,3.1,5.8,2.91,3.33,5.71,5.85,3.27,2.89,6.36,5.11
abortion,2.58,5.43,2.8,2.5,4.93,5.64,2.8,2.33,5.61,5.25
abracadabra,5.11,5.27,3.5,5.92,5.75,4.7,5.89,4.33,5.89,4.85
abrasive,4.26,6.1,3.89,4.6,5.62,6.38,3.67,4.8,6,6.25
abreast,4.62,4.61,4.2,4.75,4.92,4.27,3.83,5.67,5,3.71
abrupt,3.28,5.23,3.4,3.23,6,4.3,3.8,2.62,6.11,4.62
abscess,2.79,4,2.67,2.53,3.4,4.6,2.83,2.42,3.57,4.23
absence,3.86,4.3,4.5,3.6,4.38,4.25,4,3.8,4.6,4
absent,4.1,3.72,3.89,4.25,2.83,04.06,4.31,3.4,3.14,4.6
absinthe,3.53,3.7,4.33,3.38,4.67,3.29,3.8,3.22,2.86,4.15
absolute,5.43,3.48,5.45,5.4,04.09,2.92,5.3,5.55,4.36,2.67
absolution,6.58,3.38,5.33,6.81,3.57,3.46,6.29,6.75,4.57,2.92
absolve,4.58,3.53,5,4,3.75,3.46,5,4.27,3,3.9
absorb,5.5,4.27,5,5.79,05.08,3.3,5.82,5.18,5.11,3.69
abstain,4.4,3.1,4,4.47,3.43,3,4.29,4.46,3.43,3
abstinence,3.43,3.15,4,3.2,3.12,3.17,3,3.75,3.11,3.18
abstract,5.25,3.96,5.43,5.15,5.33,3.5,5.25,5.25,4.8,3.36
absurd,4.45,04.02,4.57,4.36,4.3,3.78,4.56,4.35,3.42,4.5
absurdity,04.06,4.7,3.78,4.33,4.29,05.07,4.38,3.8,4.5,05.08
abundance,6.67,4.72,6.67,6.67,4.33,4.92,6.22,7.11,4.6,4.88
abundant,7.55,4.21,7.64,7.44,4,4.33,7,8.22,4.7,3.67
abuse,1.53,6.21,1.67,1.46,5.6,6.56,1.3,1.78,5.67,6.52
abusive,02.05,5.27,2,02.09,4,5.56,1.64,3,4.83,5.67
abysmal,3.45,3.91,2.67,04.09,4,3.83,3.36,3.67,3.56,4.14
abyss,3.9,4.85,4.33,3.73,5.12,4.67,3.83,3.93,4.8,4.9
academic,6.61,3.32,6.17,6.83,2.91,3.73,6.45,6.86,03.09,3.55
academy,5.32,3.77,4.83,5.54,4.33,3.1,5.3,5.33,4.89,3
accelerant,4.59,4.81,4.11,4.92,4.7,4.88,4.25,4.79,4.85,4.77
accelerate,6.1,06.04,6,6.2,6.27,5.83,6.7,5.55,6.36,5.75
accelerated,6.21,4.75,6,6.36,3.89,5.27,6.44,6,4.25,5.25
acceleration,6.19,6.73,6.56,5.92,5.67,7,6.22,6.17,7.6,6.47
accelerator,5.63,5,6,5.12,6,4.71,5.88,5.45,5.86,4.45
accent,6.48,4.95,6.5,6.46,4.4,5.13,6.69,6.12,5.17,4.62
accept,6.39,2.8,5.62,7,2.71,2.85,5.91,7.14,2.11,3.36
acceptable,6.59,3.65,6.88,6.23,4,3.43,7,6.15,3.33,3.86
acceptance,6.84,4.3,6.92,6.71,4.67,4,6.88,6.81,4.52,4
access,6.68,5.3,6.46,7,5.71,05.08,6.67,6.7,5.33,5.27
accessible,6.68,3.2,6.12,07.09,3.17,3.33,6.43,7.4,2.79,4
accessory,5.35,4.22,5.8,5.2,4.4,4.15,5.2,5.5,4.86,3.82
accident,2.55,4.93,2.55,2.55,4.2,5.32,2.52,2.57,4.94,4.92
accidental,3.46,4,3.38,3.5,5.38,03.08,3.2,3.64,5.33,2.91
acclaim,6.1,3.95,6,6.17,3.5,4.13,5.67,6.42,5.2,3.59
accommodate,6.35,3,6.4,6.33,2.83,03.08,6.6,6.1,2.5,3.62
accommodation,6.76,4.72,6.88,6.69,4.92,4.5,7.25,6.33,5.5,3.73
accompany,5.47,3.85,5,5.56,4.67,3.5,5.7,5.22,3.86,3.85
accomplice,4.6,4.5,5.33,4.47,5.14,4.33,5,4.38,5,4.46
accomplish,7.45,5.16,7.43,7.46,4.89,5.4,7.5,7.44,4,6
accomplishment,08.05,4.96,7.88,8.15,5.38,4.5,8.25,7.83,5.64,04.09
accord,6.38,2.85,6.17,6.47,3.25,2.58,6.33,6.42,3.22,2.55
accordion,5.26,2.94,6,5,3.2,2.85,5.2,5.33,3.14,2.82
account,5.39,3.76,4.75,5.9,3.57,3.86,5.18,5.71,2.67,4.58
accountability,4.89,3.7,5.67,4.67,2.7,4.7,3,5.75,2.71,4.23
accountable,5.7,4.2,5.5,5.79,4.38,04.08,5.67,5.71,4.8,3.6
accountant,5.19,3.81,5.5,4.78,4.29,3.57,6,5,3.6,4
accounting,4.42,3.68,4.73,4.43,4.75,03.07,3.88,4.82,3.44,3.85
accumulate,6.33,2.73,6,6.5,3,2.45,6.1,6.62,02.09,3.36
accuracy,6.32,3.33,6.27,6.14,3.86,03.07,5.88,6.64,3.67,03.08
accurate,7.42,4.35,6.89,7.9,4.86,4.13,8.22,6.7,5.1,3.75
accursed,3.21,5.33,3,3.25,5.62,5.15,3.44,3,5.89,4.92
accusation,3.38,5.48,3.45,3.3,05.09,5.83,3.2,3.55,5.27,5.67
accuse,2.68,5.32,2.83,2.62,5.42,5.2,3.4,1.89,5.67,05.08
ace,6.37,4.64,8,06.06,05.08,4.1,6.78,6,5,4.38
acetylene,4.11,3.67,4.33,04.06,4.25,3.31,3.78,4.4,3.89,3.5
ache,3.27,4.3,3.29,3.32,3.27,4.56,3.21,3.31,3.92,4.68
achieve,7.75,4.7,7.25,08.08,3.67,5.36,8,7.55,5,4.36
achievement,7.28,5.57,8,6.85,5.45,5.67,7.67,6.96,6.27,4.92
achy,3.15,4.48,3.2,3.1,4.25,4.62,3.56,2.82,4.38,4.62
acid,3.26,4.77,3,3.38,4.83,4.7,3,3.56,5.33,4.38
acknowledge,6.43,3.26,6.22,6.58,04.09,2.5,6.29,6.38,3.73,2.83
acknowledgement,6.53,3.3,6.25,6.73,3,3.5,6.78,6.3,3.58,3
acne,2.18,4.47,1.8,2.33,4.7,4.22,2.71,1.8,3.5,5.18
acorn,5.85,4.42,5.38,6.17,4.69,04.09,6.29,5.92,5.29,3.2
acoustic,7.1,4,7.44,6.82,4,4.12,6.86,7.67,3.5,4.89
acoustics,6.33,3.19,6.11,6.5,2,3.64,6.33,6.33,3.6,03.06
acquaintance,5.58,3.24,5.55,5.62,2,3.71,5.8,5.43,3.4,3.19
acquire,5.5,4.86,4.78,06.09,5,4.75,5.21,6.17,4.25,5.56
acquisition,5,4.36,5.14,4.92,4.5,4.25,4.73,5.33,5,3.92
acquit,5.6,4.56,6.2,5.4,5.33,4.17,6,5.2,5.4,3.5
acquittal,6.19,4.95,6.62,5.92,6.2,4.53,5.92,6.62,05.08,4.75
acre,5.53,2.73,5.45,5.14,3.88,02.07,5.75,5.36,2.44,2.92
acreage,5.25,3.74,5,5.33,4.58,2.82,4.55,6.11,3.56,4.14
acrobat,6,4.9,5.67,06.06,5.43,4.62,5.43,6.31,4.86,4.92
acrylic,5.52,3.73,5.55,5.5,3.1,4.12,5.89,5.31,3.92,3.54
act,5.64,4.19,6.17,5.4,3.86,4.36,5.5,5.86,4.11,4.25
action,6,6.19,6,6,5.71,6.43,5.82,6.29,6.56,5.92
action figure,6.18,4.65,6.8,5.92,5.55,3.56,6.5,6,3.89,5.27
activate,5.7,3.78,5.82,5.45,3.82,3.75,5.43,5.85,3.91,3.67
activation,6.14,3.52,6.56,5.83,4.18,2.92,6.29,6.15,4,03.08
active,6.47,5.62,8,6.19,4.88,06.08,6.89,6.1,5.56,5.67
activist,6.24,5.26,5.8,6.4,4.88,5.55,06.08,6.44,5.2,5.33
activity,6.21,4.86,6,6.25,5.5,4.6,6.2,6.22,3.86,5.36
actor,6.15,4.35,6.14,6.15,4,4.64,6,6.33,3.75,4.75
actress,5.42,5.43,5.33,5.44,6.12,5,5.67,5.2,5.67,5.25
actual,6.22,2.75,6.2,6.23,2.73,2.78,6.71,5.91,2.22,3.18
actuality,5.4,5.55,06.09,4.56,6.71,4.92,05.09,5.78,5.64,5.44
acupuncture,4.81,4.9,5.17,4.67,4.88,4.92,4.56,5,5,4.82
acute,5.1,05.09,5.44,4.82,4.4,5.25,5.64,3.83,4.42,5.89
ad,4.11,3.33,4.55,3.5,4,3.14,4.62,3.73,3.57,3.18
adage,5.55,3.38,5.67,5.53,3.14,3.38,5.43,5.62,3.14,3.38
adamant,5.45,5.74,5.6,5.44,6.88,4.91,4.83,6.2,6.3,5.11
adapt,5.84,3.9,5.67,5.88,4.17,3.79,5.2,6.56,3.86,3.92
adaptation,5.82,3.55,06.08,6,3.25,3.71,5.67,5.92,2.78,04.08
add,6.23,4,06.08,6.44,5,3.46,6.42,6,4.56,3.55
adder,4.45,3.24,4.6,4.4,3,3.33,5,3.9,2.89,3.62
addict,2.86,5.33,3.33,2.5,4.64,5.64,4.71,1.92,5.38,5.39
addicted,2.89,4.77,3.33,2.5,4.33,5.3,3.67,2.2,4.89,4.69
addiction,3.52,4.48,4.38,3,5.67,04.06,3.92,3,4.9,4.15
addictive,3.52,4.82,4.38,3,5.5,4.56,3.75,3.22,5.56,4.31
additional,6.15,3.61,6,6.2,4.17,3.33,6.4,5.9,3.9,3.25
address,6.11,03.05,5.75,6.4,3.29,2.92,5.91,6.43,3.11,3
adept,6.14,4.17,5.55,6.8,3.82,4.5,5.9,6.36,4.27,04.08
adequate,4.7,3.64,4.33,5,2.6,04.06,4.71,4.67,04.08,3.22
adhere,5.17,3.52,6,5,3.83,3.4,4.9,5.5,3,3.79
adhesive,5.84,3.2,5.92,5.67,3.2,3.2,6.33,5.4,3.86,2.85
Adidas,5.77,4.18,6.25,5.5,3.8,4.5,5.73,5.82,3.55,4.82
adjacent,5.15,2.78,5.2,5.13,3.83,2.25,5.2,5.1,2.9,2.62
adjective,5.95,3.64,5.89,6,4,3.44,6.12,5.4,3.43,3.8
adjoining,05.06,3.52,5,4.71,3.14,3.71,5.43,4.82,3.12,3.77
adjourn,5.5,3.15,5.5,5.6,3.1,3.2,4.33,6.27,2.71,3.38
adjust,5.76,3,6.56,5.17,03.09,2.92,5.86,5.77,3.36,2.67
adjuster,4.25,3.5,4.22,4.27,3.2,3.69,4.5,3.67,3.67,3.44
adjustment,5.53,4.59,5.33,5.7,4.71,4.64,6.11,5,5,4.36
admin,4.37,3.64,3.67,4.69,4.25,2.9,5.1,3.56,5.22,2.54
administer,4.4,3.86,4.44,4.36,3.6,4.12,4.79,3.5,4,4
administration,4.45,3.23,4.3,4.6,3.57,03.07,4.9,4,3.8,03.06
administrative,4.79,3.21,5.33,4.8,2.78,3.6,4.67,5,3.14,3.25
administrator,5.32,4.74,5.8,5.19,6.12,3.73,05.08,5.6,5.2,4.22
admirable,7,4.57,6.2,7.25,4.92,4.18,7.25,6.67,4.88,3.86
admiral,4.8,04.05,4.33,4.88,5.29,3.46,5.29,4.54,5,3.62
admiralty,6.16,4.27,5.67,6.38,05.08,3.3,6.5,5.78,4.56,04.08
admiration,7.58,5.52,7.33,7.8,6,5.53,8.33,6.9,5.4,5.92
admire,7.35,5,7.33,7.36,5.2,4.83,7.21,7.67,5.62,4.64
admired,7.25,5.95,7.8,07.07,5.83,6,7.1,7.4,6.14,5.86
admirer,07.05,6,6.89,7.17,5.5,6.2,6.56,7.42,5.6,6.12
admissible,5.16,2.9,5,5.13,2.8,3,5.5,4.92,2.29,3.23
admission,5.91,3.69,6.33,5.62,3.1,04.06,6,5.86,4.23,3.15
admit,5.56,3.35,4.75,6.2,3,3.54,5,6.43,2.56,4
admittance,6.29,3.6,6.33,6.22,3.57,3.62,6.25,6.29,4,3.27
ado,4.82,3.33,4.86,4.75,4.55,2.11,4.7,4.92,3.55,3.1
adobe,5.25,3.89,5.6,5.13,4.33,3.67,5.6,4.9,3.9,3.88
adolescence,6,5.1,6,6,4.25,5.62,6.33,5.73,5.77,4
adolescent,5.38,4.2,5.5,5.33,4.25,4.17,4.89,5.75,4.33,04.09
adopt,6.9,4.71,6.5,7.15,4.62,4.82,7.12,6.83,4.79,4.6
adoption,6.68,4.82,6.56,6.8,4.12,5.21,6.57,6.75,4.8,4.83
adoptive,5.67,4.4,5.38,5.85,4.69,04.08,5.88,5.58,5.36,3.18
adorable,7.4,4.66,7.4,7.4,3.77,5.12,7.5,7.3,4.2,5.17
adoration,6.47,4.36,5.33,7,4.83,3.8,5.8,7.22,4.78,04.08
adore,7.37,5.96,7,7.7,6,6.13,7.56,7.2,5.6,6.5
adoring,7.38,4.86,6.78,7.83,3.17,5.71,7,7.67,4.4,5
adrenalin,6.33,05.05,6,6.64,4.29,5.4,6.82,5.8,3.8,5.41
adrenaline,6.61,5.95,7.4,6.31,6.45,5.33,6.71,6.55,5.33,6.45
adrift,4.36,3.19,4.75,3.67,3.55,2.89,4.55,4.21,3.18,3.2
adult,5.9,4.36,5.94,5.88,4.3,4.42,5.41,7,4.18,4.55
adulterer,2.77,5.68,2.86,2.73,5.2,06.08,3,2.55,4.55,6.82
adultery,2.81,6.42,2.83,2.8,6.38,6.45,2.67,2.87,6.22,6.6
adulthood,05.05,4.28,5.56,4.67,4,4.39,4.81,5.8,4.57,3.9
advance,6.11,4.62,5.4,6.38,5,4.11,6.4,5.75,5.33,04.08
advanced,6.14,3.83,06.09,6.2,4.45,3.25,6.6,5.73,4.27,3.42
advancement,7.47,5.81,7.29,7.58,6.17,5.5,6.62,08.09,5.2,6
advantage,6.71,3.95,7.44,6.17,4.5,3.3,6.14,07.08,5.11,3.15
advantageous,6.79,5.7,7.67,6.62,5.71,5.69,7,6.6,5.5,5.83
adventure,7.4,6.36,7.35,7.45,6.58,6.17,7.56,7.31,5.81,6.69
adventurer,7,5.27,7.78,6.42,5.18,5.36,6.71,07.08,5.82,4.73
adventurous,7.37,6.67,7.18,7.62,8,6.29,7.88,7,6,07.09
adversary,4.55,4.41,5.38,4,4.17,4.47,5.22,4,4.2,4.47
adverse,3.68,3.89,3.64,3.75,4.5,3.71,3.88,3.55,4,3.82
adversity,4.26,3.82,5.5,3.69,3.73,3.91,5.27,2.88,4,3.64
advertise,5.16,4.29,4.4,5.46,4.17,4.33,4,5.91,5,3.93
advertisement,4.3,4.14,3.67,4.82,3.2,4.56,4.14,4.67,4.42,4
advertising,4.68,3.25,5.33,4.67,3.6,2.9,4.83,4.75,3.86,2.92
advice,5.78,03.05,4.62,6.7,2.86,3.14,5,7,2.11,3.75
advisable,5.62,4.36,5.6,5.62,4.82,3.91,5.67,5.56,4.73,3.57
advise,5.44,3.38,5.38,5.56,3.45,3.56,05.09,5.71,2.82,4
advisement,4.55,04.04,5,4.23,2.9,4.75,4.75,4.43,4,04.08
adviser,5.68,3.36,6,5.4,3.75,3.14,5.29,5.92,3.7,03.08
advisor,4.74,3.19,5,4.69,2.67,3.4,4.9,4.56,3.43,03.07
advisory,4.95,04.05,5.45,4.4,4.36,3.73,4.3,5.55,4.45,3.64
advocate,5.25,4.59,5.56,5,4.2,4.69,5.71,4.17,4,5.33
aerial,06.04,3.67,6.33,5.94,5.25,3.29,6.11,6,4,3.36
aerobics,6,5.1,6,6,5.62,4.77,6.11,5.9,5.44,4.83
aerodynamic,6.16,4.33,6,6.19,5.17,4,6.1,6.22,3.29,4.86
aerospace,5.79,4.52,6.4,5.62,5.33,4.2,6,5.73,4.43,4.57
aesthetic,5.43,2.88,5.38,5.46,4.5,2.33,5.58,5.22,3.4,2.5
affair,3.1,5.4,4,1.62,5.57,5.31,3.17,3,5.56,5.27
affect,5.65,3.61,5.62,5.67,3.38,3.73,5.44,5.82,2.92,4.36
affection,7.89,5.64,8,7.85,6.42,4.7,7.5,8.33,7,4.69
affectionate,7.23,4.77,6.88,7.43,4.8,4.75,7.18,7.27,5.27,4.27
affidavit,4.38,3.73,4.2,4.55,3.29,3.93,4.45,4.3,2.6,04.06
affiliation,5.32,3.9,4.4,5.59,4.12,3.77,5.5,5.17,4.33,3.58
affinity,5.86,4.29,5.93,5.75,4.36,4.33,6.6,5.25,4.18,4.4
affirmation,5.95,3.95,5.2,6.7,4.57,3.62,4.67,7,4.69,2.57
affirmative,5.94,3.64,6.6,5.43,3.75,3.57,5.62,6.2,2.56,4.38
affliction,3.76,5.1,4,3.62,4.8,5.2,3.85,3.62,5,5.25
afford,6.56,4.33,5.75,7.2,3.57,4.71,6,7.43,2.89,5.42
affordable,7.52,4.11,7.33,7.78,3.5,4.38,9,7.18,4.89,3.4
affront,4.53,4.5,4.69,4.17,4.6,4.47,5.11,4,5.43,4
afire,06.05,5.41,6.38,5.83,4.17,5.87,5.78,6.27,4.6,5.65
afloat,5.57,4.13,5.45,5.7,4.36,3.92,6,5.18,4.45,3.83
aforementioned,5.21,3.5,05.09,5,3.62,3.43,5.5,5,2.33,4.31
afraid,2.25,5.12,1.67,2.35,4.75,5.28,2,2.38,4.29,5.9
african,6.42,4.11,5.67,6.53,4.6,3.56,6.5,6.33,4.29,4
afterlife,5.53,4.32,6.36,4.86,5.62,3.57,4.62,6.18,3.44,4.92
aftermath,4.29,5.38,4.55,4,5.18,5.6,4.2,4.36,4.9,5.82
afternoon,6.68,3.48,6.5,6.73,3.29,3.57,6.64,6.71,3.33,3.58
aftershave,5.55,3.5,6,5.31,3.6,3.42,5.27,5.89,4.44,2.85
age,5.78,3.71,5.88,5.7,5,03.07,6,5.43,2.56,4.58
agency,5.14,3.17,6,4.5,3.82,2.58,5.43,5,3.64,2.75
agenda,05.05,3.62,5.12,5,3.54,3.73,6.12,4.67,4.15,3
agent,5.23,3.43,4.83,5.47,2.57,3.86,5.21,5.43,3.22,3.58
aggravate,2.55,5.9,2.3,2.8,5.5,6.15,2.44,2.64,6.46,5
aggravation,2.48,5.35,2.83,2.33,6.38,4.67,2.33,2.58,5.89,4.91
aggression,3.18,5.69,2.67,3.54,6.1,5.44,3.38,03.07,5.92,5.46
aggressive,03.08,5.87,3,3.13,7.71,5.13,3,3.19,6.1,5.83
aggressiveness,3.58,6.43,3.78,3.4,7.86,5.87,3.56,3.6,6.2,6.75
aggressor,2.8,6.55,2.71,2.85,6.89,6.27,2.9,2.67,6.25,6.75
agile,5.95,4.95,6.44,5.5,5.38,4.71,5.71,06.08,5,4.92
agility,6.55,4.21,7,6,4.75,3.88,6.36,6.78,4.11,4.3
aging,3,3.8,2,3.21,3.7,3.9,3.33,2.82,4.14,3.62
agitate,3.36,5.82,4.14,3,5.4,6.17,3,3.8,5.45,6.18
agitation,2.84,4.75,03.08,2.33,4.6,4.8,3.33,2.4,5.29,4.46
aglow,5.84,4.83,5.55,6.25,5,4.79,5.75,5.91,4.29,5.18
agonizing,2.68,6.71,2.8,2.62,6.83,6.67,2.43,2.82,6.14,7
agony,2.46,5.78,2.72,2.26,5.5,5.92,2.53,2.27,6,5.5
agree,7.17,3.62,6.88,7.4,3.71,3.57,07.09,7.29,2.89,4.17
agreeable,6.9,3.55,7.6,6.2,4.25,03.08,6.67,07.09,3.83,3.12
agreement,6.75,04.05,6.78,6.73,4.6,3.86,6,7.33,3,4.54
agricultural,5.5,3.55,5.6,5.46,4.17,2.8,5.22,5.78,4.33,3
agriculture,6.1,03.05,6.33,06.06,3,3.23,6,6.15,3.43,3
ahoy,5.58,3.95,6,5.5,3.33,4.2,5.1,6.11,3.14,4.36
aid,6.29,4.55,5.67,6.53,5.5,3.92,4.83,6.87,5.5,3.6
aide,5.6,4,5.22,5.91,3,4.38,5.57,5.67,04.08,4
aids,3.52,3.75,3.25,3.69,5.83,03.06,3.42,3.67,4.7,03.07
AIDS,1.33,5,1,1.47,6,4.33,1,1.58,6.11,04.09
ailing,2.95,4.52,3.12,2.86,4.6,4.45,3.18,2.73,4,5.1
ailment,3,3.68,3,3.14,4.75,03.07,3.12,2.9,3.56,3.77
aim,5.95,4,5.79,6.25,4.91,2.78,5.2,6.58,2.55,5.6
air,6.71,3.25,6.75,6.67,2.8,3.7,7,6.65,1.86,4
airbag,5.4,3.64,5,5.73,4.1,3.25,5.86,4.33,3.5,3.71
airborne,5.25,3.52,4.75,5.38,3.25,3.59,6,4.75,3.9,3.18
aircraft,6.3,4.86,6.33,6.27,5.7,4.17,6.43,6,4.75,4.93
aircraft carrier,5.25,4.64,6.29,4.69,4.8,4.5,4.55,6.11,4.89,4.46
airfield,5.74,4.38,6.2,5.69,5,4.13,5.86,5.82,4.29,4.43
airhead,4.1,4.3,4,4.13,4.12,4.42,4.44,3.83,4.78,3.91
airline,5.36,4.12,5.33,5.38,3.1,4.75,5.25,5.43,5,3.23
airliner,06.05,4,5.83,6.15,4.18,3.82,5.91,6.25,3.73,4.27
airlock,4.85,4.23,5,4.73,3.6,4.56,4.86,4.83,04.08,4.67
airplane,5.25,5.62,5.33,5.24,7.14,4.85,5.43,5.15,6.43,5.23
airport,6,5.5,6.69,4.88,6,5.23,5.33,6.89,5.78,5.27
airship,5.63,4.88,6.12,5.27,5,4.8,5.56,5.7,4.75,5
airspace,5.5,4.4,5.2,5.58,4.17,4.5,4.83,5.82,4,4.57
airspeed,4.95,4.33,5.55,4.12,5.5,4,5,4.91,5.43,3.64
airstrip,4.76,3.83,5.25,4.46,5.83,3.17,5,4.44,4.8,3.14
airtight,5.1,3.3,4.6,5.27,4.33,2.18,4.73,5.56,3.25,3.43
airway,4.95,4,5,4.94,4.33,3.87,5,4.89,3.57,4.21
aisle,5.17,2.5,5.2,4.71,3.12,2.14,5.38,5,1.78,3
ajar,5,3.26,5.22,4.83,3.82,2.75,4.86,05.08,3.64,2.92
aka,4.63,3.39,05.09,4,4.75,3,5,4.36,3.57,3.27
alabaster,5.5,3.95,6,5,4,3.92,4.56,6.27,4.38,3.25
alarm,3.86,6.85,4.46,2.88,7.43,6.54,3.83,3.89,7,6.73
alarm clock,3.47,5.36,3.89,3.1,5.62,5.21,3.71,3.33,5.7,05.08
alarming,3.52,6.5,4.5,3.13,6.88,6.25,3.83,3.4,7.1,5.9
albatross,5.68,03.09,6,5,3.25,3,5.75,5.64,2.44,3.54
albino,4.9,03.09,5,4.83,2.83,3.2,5.22,4.67,2.2,3.35
album,6.19,5.63,5.2,6.53,6.5,5,5.45,7,5.5,5.78
alcohol,4.11,5.17,4.82,3.12,5.5,05.07,4.88,3.55,4.57,5.55
alcoholic,2.49,5.48,3,2.13,5.36,5.58,2.16,2.8,06.09,4.92
alcoholism,2,5,2.62,1.62,5.31,4.64,2.75,1.58,5.29,4.6
alcove,5.5,3.32,4.78,06.09,3.33,3.22,5.19,6.75,3.71,2.6
alderman,4.44,03.05,3.8,4.69,3.17,2.9,5,3.89,3.33,2.85
ale,5.95,4.1,5.67,6,4.88,3.62,6,5.9,4,4.17
alert,5.38,5.14,05.06,5.58,5.67,4.9,4.95,5.8,6,4.81
alfalfa,4.79,3.67,5.33,4.3,3.75,3.62,5,4.67,4.11,3.33
algebra,5.4,4.6,6.14,5,5.8,4.2,5.54,5.14,4.83,4.25
algorithm,5.3,3.7,4.67,5.41,4.67,3.38,4.86,5.54,4.43,3.42
alias,5,4.71,5.2,4.8,4.5,4.85,4.78,5.18,5.15,4
alibi,4.16,4.5,04.08,4.33,5,4.33,3.89,4.4,5,4.23
alien,4.45,4.86,4.91,3.89,4,5.36,4.5,4.44,4.4,5.25
alienate,2.79,4.27,2.83,2.77,4.5,4,3.2,2.33,4.78,3.92
alienation,2.53,5.14,2.83,2.38,4.75,5.6,2.9,2.11,5.56,4.85
alight,5.67,3.86,5.75,5.56,4.14,3.71,5.75,5.65,4.5,3.27
align,5.95,3.32,6.18,5.14,3.5,3.21,6.12,5.82,3.22,3.38
alignment,6,3.92,6.62,5.62,4.17,3.67,6.88,5.42,5.21,2.1
alimony,3.86,03.09,3.42,4.44,3.18,3,6,3.35,3.45,2.75
alive,6.57,5.93,6.62,6.53,06.06,5.84,6.42,6.73,4.91,7.22
allegation,3.26,5.9,4.67,3,5.88,5.92,3.11,3.4,5.78,6
alleged,3.62,05.09,04.09,3.1,6,4.25,3.4,3.82,5.45,4.75
allegiance,5.8,5.17,5.89,5.73,5.36,5,5.71,6,5.11,5.21
allegro,5,3.89,5.2,4.93,5.17,3.25,5.4,4.6,4.6,3
allergic,3,5.4,2.91,3.11,6.29,4.92,2.55,3.56,05.09,5.78
allergy,2.9,3.9,2.4,03.07,3.17,4.2,2.42,3.38,3.57,04.07
alleviate,6.25,3.45,6.89,5.73,2.6,3.56,6.43,5.83,3.58,3
alley,4.17,04.08,5,3.65,4.77,3.72,4,4.38,4.5,3.61
alleyway,3.46,3.7,4.4,2.79,5.5,03.06,3.23,3.73,5.11,2.79
alliance,6.14,4.4,5.75,6.38,4.6,4.33,6.15,6.12,4.58,4.12
allied,5.95,3.38,6.67,5.82,3.29,3.31,6,5.92,4.14,2.85
alligator,4.23,5.36,3.75,4.5,5.5,5.25,4.27,4.18,5,5.73
allow,6.39,2.95,5.38,7.2,2.86,3,5.82,7.29,2.11,3.58
allowance,6.74,04.05,7.33,6.62,4,04.08,6.89,6.6,4.67,3.58
alloy,5.2,3.32,5.78,4.73,3.4,3.25,5.5,4.5,2.88,3.57
allure,6.9,4.25,6.57,07.08,4.78,3.82,6.8,7,4.38,4.17
alluring,6.74,4.35,6,6.92,4.83,4.14,6.14,7,4.5,4.29
ally,06.05,4.8,5.85,6.33,5.14,4.62,5.33,6.9,4.22,5.27
almanac,5.55,3.24,4.67,5.71,3.71,2.92,4.86,5.92,3.57,3
almighty,6.15,4.59,6.14,6.15,6.1,3.33,5.27,7.22,5.33,04.08
almond,06.05,2.89,5.82,6.33,3.71,2.42,6.27,5.78,3.2,2.56
aloha,7.1,3.82,6.89,7.25,3.83,3.73,6.67,7.42,4.8,3.53
alone,3.85,4,2.67,04.06,3.68,4.43,3.29,4.15,4.62,3.35
aloof,4.59,03.09,5.5,4,3.12,03.08,05.07,3.54,2.36,3.45
alpha,5.5,3.67,5.5,5.5,3.25,3.76,5.38,5.58,3.2,04.09
